time_from_start,number_of_rows_finished
0,0
16.582522869110107,32
16.745074033737183,64
17.02950096130371,96
17.122219562530518,128
17.615517139434814,160
17.72952938079834,192
18.01419425010681,224
18.12451457977295,256
18.63450598716736,288
18.715087890625,320
18.955180406570435,330
18.997995376586914,362
19.120657205581665,394
19.72237277030945,426
19.95155906677246,458
19.9757022857666,490
20.041483163833618,500
20.109745740890503,532
20.266057014465332,542
20.28906512260437,552
20.356964111328125,562
20.429956912994385,572
20.58644986152649,582
20.604689121246338,592
20.677929162979126,602
20.749680757522583,612
20.92577075958252,622
20.99671244621277,632
21.085013151168823,642
21.272539377212524,652
21.428422451019287,662
21.64657759666443,694
21.9661762714386,704
22.01436734199524,736
22.370450973510742,768
22.508045196533203,800
22.96646499633789,832
23.04599118232727,864
23.34618377685547,896
23.496949195861816,928
23.968257427215576,960
24.039978742599487,992
24.284870624542236,1002
24.329206943511963,1034
24.491337060928345,1066
25.029117107391357,1098
25.31281042098999,1130
25.340168714523315,1162
25.343379259109497,1172
25.479395389556885,1204
25.64439845085144,1214
25.667079210281372,1224
25.667893648147583,1234
25.811273097991943,1244
25.966073036193848,1254
25.984636068344116,1264
26.136516332626343,1277
26.207415342330933,1288
26.36185622215271,1298
26.439754247665405,1300
26.54534363746643,1313
26.676444053649902,1326
26.99120283126831,1358
27.06360960006714,1360
27.170488357543945,1373
27.480315685272217,1405
27.578944206237793,1437
28.085649251937866,1469
28.24313974380493,1501
28.489549160003662,1533
28.57464909553528,1565
29.10112738609314,1597
29.22700023651123,1629
29.414544820785522,1639
29.508919954299927,1671
29.571622133255005,1703
29.580538272857666,1705
30.210365533828735,1737
30.431827545166016,1769
30.57475233078003,1801
30.577836990356445,1833
30.64871835708618,1835
30.761488676071167,1845
30.951738119125366,1857
30.965059518814087,1867
31.085425853729248,1877
31.207484483718872,1909
31.270859479904175,1919
31.284691095352173,1929
31.640131950378418,1939
31.660192728042603,1952
31.976786851882935,1962
32.18848657608032,1994
32.27918481826782,2026
32.31605577468872,2036
32.51314377784729,2046
32.59462594985962,2056
32.6376051902771,2066
32.70722961425781,2098
33.58409571647644,2130
33.58509397506714,2162
33.68860459327698,2194
33.77054262161255,2226
34.58077001571655,2258
34.58263611793518,2290
34.6834831237793,2322
34.75652766227722,2354
34.90241837501526,2364
34.90725612640381,2374
35.68636465072632,2406
35.743770360946655,2438
35.91396498680115,2470
35.91808772087097,2502
36.05796527862549,2512
36.23293209075928,2522
36.23908066749573,2532
36.369423389434814,2542
36.55412220954895,2552
36.560988664627075,2562
36.693171977996826,2572
36.69705629348755,2604
37.01266670227051,2614
37.0666708946228,2624
37.39909482002258,2634
37.57388663291931,2666
37.67587327957153,2698
37.7267587184906,2708
37.896202087402344,2718
38.002055644989014,2728
38.058446407318115,2760
38.066118478775024,2770
38.933616638183594,2802
39.06834292411804,2834
39.07560420036316,2866
39.12705898284912,2898
39.9275643825531,2930
40.068087100982666,2962
40.07108759880066,2994
40.120643854141235,3026
40.255550384521484,3036
40.389719009399414,3046
41.06022667884827,3078
41.11938261985779,3110
41.258275270462036,3142
41.327606201171875,3144
41.43933629989624,3176
41.47278428077698,3189
41.487568378448486,3194
41.75755262374878,3204
41.78412961959839,3214
41.826452016830444,3216
42.1100127696991,3226
42.121347188949585,3258
42.44942235946655,3268
42.52024245262146,3281
42.616267919540405,3313
42.775432109832764,3323
42.810136795043945,3329
42.855897426605225,3361
42.869178771972656,3363
43.12314581871033,3371
43.31742787361145,3384
43.57044744491577,3416
43.808438301086426,3448
44.16008234024048,3480
44.320996046066284,3512
44.566741704940796,3544
44.82189679145813,3576
44.89096808433533,3578
45.18965244293213,3610
45.34856462478638,3642
45.55581498146057,3674
45.601205587387085,3687
45.89021849632263,3719
46.20774483680725,3729
46.36349058151245,3761
46.520899534225464,3771
46.55614185333252,3803
46.59490966796875,3835
46.678441762924194,3845
46.886019468307495,3855
46.907981395721436,3865
47.24338150024414,3875
47.290189266204834,3888
47.57167649269104,3920
47.610833406448364,3930
47.69043684005737,3962
47.89594745635986,3972
47.930460929870605,3982
48.00762963294983,3992
48.28260779380798,4024
48.3293890953064,4034
48.59921455383301,4044
48.906567335128784,4076
48.94068694114685,4108
49.36269783973694,4140
49.60798716545105,4172
49.6781268119812,4182
49.90739607810974,4214
49.931740522384644,4246
50.22664403915405,4256
50.60834860801697,4288
50.67425537109375,4320
50.922184467315674,4352
50.92621970176697,4362
51.24306559562683,4394
51.56364893913269,4404
51.67282748222351,4436
51.8776216506958,4446
51.91782522201538,4478
51.924251317977905,4510
51.989877700805664,4520
52.23040509223938,4530
52.32931447029114,4543
52.55241012573242,4553
52.64499855041504,4563
52.87007212638855,4573
52.891032218933105,4605
52.993971824645996,4637
53.06522035598755,4639
53.13933253288269,4641
53.1951220035553,4651
53.29983401298523,4664
53.667420387268066,4696
53.74933362007141,4698
54.199851274490356,4730
54.215834617614746,4762
54.26969909667969,4764
54.31122970581055,4796
54.746092796325684,4828
55.23163318634033,4860
55.26985311508179,4892
55.36825084686279,4924
55.43652081489563,4929
55.509334325790405,4931
55.68336033821106,4941
55.75222945213318,4973
55.82200217247009,4975
56.087151765823364,4988
56.240575551986694,5001
56.29756474494934,5033
56.538782835006714,5065
56.61870622634888,5075
57.101616859436035,5107
57.23567771911621,5139
57.5138897895813,5152
57.55170941352844,5184
57.61480474472046,5216
57.643537759780884,5229
57.834357500076294,5239
57.93405628204346,5249
58.55352067947388,5281
58.65421175956726,5313
58.83466076850891,5345
58.87155866622925,5355
58.94681429862976,5387
59.060062646865845,5400
59.26333522796631,5410
59.83312511444092,5442
59.89362144470215,5474
60.062763690948486,5506
60.15024471282959,5516
60.21725416183472,5526
60.25857377052307,5558
60.395906925201416,5568
60.533796548843384,5578
60.580658197402954,5588
60.71415615081787,5598
60.852100133895874,5608
61.14865016937256,5640
61.46933698654175,5650
61.58077073097229,5682
61.71056890487671,5714
61.78315806388855,5724
61.85750460624695,5756
62.57304620742798,5788
62.72454476356506,5820
62.85364270210266,5852
62.886125802993774,5862
63.042689085006714,5872
63.0946831703186,5904
63.17802882194519,5914
63.519609451293945,5924
63.89355230331421,5956
64.05882167816162,5988
64.08921313285828,6020
64.15893936157227,6022
64.21097588539124,6032
64.38181710243225,6042
64.52449202537537,6052
64.53333759307861,6084
64.93090844154358,6097
65.15672564506531,6129
65.39491438865662,6161
65.50107407569885,6171
65.549072265625,6203
65.70929002761841,6213
66.37162232398987,6245
66.49510097503662,6277
66.55029249191284,6309
66.57692956924438,6311
66.64565062522888,6313
66.70708084106445,6345
67.11628675460815,6358
67.36658263206482,6390
67.4355981349945,6392
67.55138778686523,6424
67.80389714241028,6456
67.8675708770752,6466
67.87374544143677,6468
67.93615460395813,6470
