time_from_start,number_of_rows_finished
0,0
19.84172034263611,32
20.003456830978394,35
20.63488459587097,67
20.860235929489136,99
20.971898555755615,102
21.117904901504517,134
21.335914611816406,166
21.390535593032837,173
21.649799585342407,205
21.725868701934814,215
21.977611541748047,247
22.05956244468689,258
22.3254292011261,268
22.414462089538574,278
22.424673557281494,310
22.74779462814331,342
23.083999156951904,352
23.350125312805176,384
23.43620228767395,416
23.49569821357727,448
23.688937425613403,458
23.752559661865234,465
24.105058670043945,497
24.186342477798462,507
24.458836793899536,539
24.46700096130371,549
24.578823566436768,552
24.711239099502563,584
24.93466067314148,594
25.255852937698364,626
25.477689743041992,658
25.7284517288208,690
25.805412530899048,700
26.039475679397583,732
26.05399775505066,742
26.29692053794861,774
26.382262468338013,784
26.383039474487305,794
26.64812207221985,804
26.847294092178345,836
27.1141254901886,849
27.200371742248535,859
27.800229787826538,891
28.169721126556396,923
28.22678780555725,936
28.49713706970215,946
28.894187450408936,978
29.259916067123413,988
29.40178346633911,1020
29.87550711631775,1033
30.33394718170166,1065
30.455299854278564,1097
30.656414270401,1106
30.79803991317749,1116
30.913023948669434,1148
31.089339017868042,1153
31.454575300216675,1185
31.718827724456787,1217
31.83925485610962,1249
32.24776220321655,1281
32.474629640579224,1313
32.73192739486694,1321
32.740732192993164,1353
32.86024475097656,1385
33.067869901657104,1395
33.132575273513794,1403
33.44306778907776,1435
33.4605655670166,1445
33.73823094367981,1477
33.815141916275024,1479
33.870999574661255,1492
34.103484869003296,1524
34.17828392982483,1526
34.575780630111694,1558
34.827624559402466,1590
34.97177839279175,1622
35.15618538856506,1625
35.19340181350708,1657
35.22631335258484,1669
35.36504554748535,1674
35.74039435386658,1706
35.91141128540039,1711
36.22807478904724,1743
36.25007200241089,1775
36.39174151420593,1807
36.55245518684387,1817
36.67874836921692,1830
36.72734761238098,1840
36.95369529724121,1872
37.04457402229309,1882
37.278265953063965,1892
37.60512065887451,1924
37.71280574798584,1937
37.970147132873535,1946
38.30859661102295,1956
38.383079051971436,1988
38.43389320373535,2020
38.79295086860657,2030
38.874840259552,2062
39.2724084854126,2072
39.941699504852295,2104
40.041221380233765,2136
40.11352777481079,2138
40.242029666900635,2170
40.31677865982056,2172
40.358755350112915,2182
40.58829736709595,2214
40.91477108001709,2224
41.38530445098877,2256
41.73827648162842,2266
42.053860664367676,2298
42.42836594581604,2330
42.4773850440979,2343
42.699243783950806,2375
42.77204942703247,2377
42.82194471359253,2389
43.15019702911377,2399
43.48526883125305,2431
43.80797338485718,2441
44.242403745651245,2473
44.29961013793945,2505
44.57790446281433,2537
44.62319540977478,2547
44.66885018348694,2560
45.0048086643219,2570
45.33394646644592,2602
45.5609085559845,2609
45.74861288070679,2641
45.78088617324829,2673
45.97592902183533,2679
