time_from_start,number_of_rows_finished
0,0
14.345108985900879,32
14.421509742736816,64
14.695298671722412,96
14.83848524093628,109
15.019668340682983,119
15.303744316101074,151
15.342175960540771,183
15.657318353652954,193
16.17941927909851,225
16.292255640029907,257
16.61536169052124,267
16.65726947784424,299
16.714863300323486,331
16.97296643257141,341
17.044816732406616,351
17.163318872451782,383
17.505196809768677,393
17.620806455612183,425
17.863141775131226,435
17.945595264434814,445
17.96941876411438,477
18.27695870399475,509
18.28728151321411,519
18.61140012741089,529
18.61795711517334,539
18.95069146156311,571
18.964313745498657,603
19.272398471832275,613
19.296753644943237,623
19.613024950027466,655
19.63441824913025,687
20.271363735198975,719
20.41140913963318,751
20.632298707962036,783
20.650203704833984,815
20.966914176940918,825
21.27081799507141,857
21.412768602371216,889
21.595258235931396,899
21.71214485168457,931
21.837429761886597,944
21.925218105316162,954
21.958778381347656,986
22.083418130874634,996
22.885217666625977,1028
22.93720316886902,1060
22.95777916908264,1062
23.07662296295166,1094
23.07832956314087,1126
23.156639337539673,1128
23.356627941131592,1141
23.399511337280273,1151
23.45861291885376,1154
23.96482253074646,1186
24.068493127822876,1189
24.18265461921692,1221
24.402624130249023,1253
24.450393438339233,1285
24.503411531448364,1295
24.83700132369995,1307
25.087313652038574,1339
25.405171871185303,1371
25.496702909469604,1403
25.49970841407776,1416
25.56986951828003,1418
25.61212468147278,1424
25.8187415599823,1434
26.015315294265747,1466
26.567849159240723,1498
26.6736958026886,1530
26.763664484024048,1536
26.777947187423706,1539
26.954341411590576,1571
27.023134231567383,1603
27.106037855148315,1613
27.188902139663696,1618
27.2721266746521,1628
27.398216724395752,1637
27.772122383117676,1669
28.09764862060547,1679
28.190512657165527,1711
28.27702808380127,1743
28.38994026184082,1775
28.507183074951172,1785
28.651248455047607,1797
28.820645332336426,1807
29.093809604644775,1839
29.41423225402832,1849
29.424888372421265,1881
29.740232706069946,1891
29.7575044631958,1923
30.414647102355957,1955
30.642435789108276,1987
30.74391269683838,2019
30.77427911758423,2051
31.183319807052612,2064
31.224432468414307,2065
31.41390085220337,2097
31.665981769561768,2129
31.748558044433594,2161
31.817651748657227,2174
31.85541534423828,2177
31.92650055885315,2179
31.986023664474487,2189
32.190300941467285,2201
32.35125923156738,2206
32.42663359642029,2238
32.74030637741089,2248
32.921138048172,2280
32.981932640075684,2312
33.30383014678955,2321
33.618630170822144,2331
33.96008372306824,2363
33.97602701187134,2395
34.28356885910034,2405
34.29796314239502,2415
34.62183713912964,2447
34.94685888290405,2457
35.027467012405396,2489
35.29806613922119,2521
35.3459906578064,2531
35.62057113647461,2541
35.94966506958008,2573
35.969388246536255,2584
36.1415319442749,2616
36.35601568222046,2629
36.992963552474976,2661
37.13676881790161,2693
37.45351767539978,2703
37.864898681640625,2716
37.87533211708069,2748
38.02100944519043,2780
38.06226062774658,2812
38.090983390808105,2814
38.22161269187927,2825
38.41276001930237,2835
38.855372190475464,2867
39.05294132232666,2899
39.373836278915405,2909
39.441370487213135,2941
39.60752773284912,2973
39.699907302856445,2983
39.91923689842224,3015
40.23479866981506,3025
40.45536494255066,3057
40.59387516975403,3089
40.77971172332764,3099
40.873395681381226,3131
40.90576910972595,3141
41.10912346839905,3151
41.222463607788086,3183
41.23195219039917,3193
41.29370856285095,3195
41.889036417007446,3227
42.23288583755493,3259
42.269493103027344,3291
42.28522706031799,3323
42.3037211894989,3336
42.4263129234314,3340
42.549813747406006,3350
42.70680475234985,3363
42.828766107559204,3376
43.32603478431702,3408
43.651869773864746,3418
43.76485538482666,3450
44.287365674972534,3482
44.64853358268738,3514
44.6906795501709,3527
44.790125370025635,3559
44.99761724472046,3569
45.11442947387695,3579
45.249120235443115,3583
45.348698139190674,3615
45.72141432762146,3647
